-1,-1,-1,-1,-1,-1,-1,-1,-1,300,301,302,303,304,305,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,300,301,302,303,304,305,-1,-1,-1,-1,-1,-1,-1,-1,-1
****************************************************************************************************
top,24,20
-1,-1,-1,-1,-1,-1,498,499,500,501,494,495,496,497,502,503,504,505,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,538,539,540,541,534,535,536,537,542,543,544,545,-1,-1,-1,-1,-1,-1
-1,-1,104,105,106,107,578,579,580,581,574,575,576,577,582,583,584,585,104,105,106,107,-1,-1
-1,-1,144,145,146,147,618,619,620,621,614,615,616,617,622,623,624,625,144,145,146,147,-1,-1
160,161,184,185,186,187,658,659,660,661,654,655,656,657,662,663,664,665,184,185,186,187,160,161
200,201,-1,-1,-1,360,361,699,700,701,694,695,696,697,702,703,704,360,361,-1,-1,-1,200,201
240,241,-1,-1,-1,400,401,330,331,332,332,332,332,332,331,332,333,400,401,-1,-1,-1,240,241
280,281,-1,-1,-1,440,441,370,371,372,372,372,372,372,371,372,373,440,441,-1,-1,-1,280,281
160,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,160,161
200,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,201
240,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,240,241
280,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,280,281
160,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,160,161
200,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,201
240,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,240,241
280,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,280,281
160,161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,160,161
200,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,201
240,241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,240,241
280,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,280,281
****************************************************************************************************
